Ad Name,Target URL,Creative ID,Custom CTA Text,Custom CTA URL,Banner CTA Creative ID,Banner CTA Title,Banner CTA Subtitle,Banner CTA URL,Tracking Pixel
TALKINGAD_GAY,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032473171,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
WALKINGSELFIE_GENERAL,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032468251,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
DREAMLAND_GENERAL,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032467961,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
AIPORNISHERE_TRANSINTENSE,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032467951,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
PMVSTYLE_GENERAL,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032467891,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
DREAMLAND_GENERAL,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032462511,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
AIPORNISHERE_GAY,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032195842,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
TALKINGAD_TRANS,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032176422,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
AIPORNISHERE_TRANS,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032176342,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
AIPORNISHERE_GENERAL,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032166512,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,
TALKINGAD_GENERAL,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032166462,Create Your Cum Slut,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_SOURCE-Gay_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,