Ad Name,Target URL,Creative ID,Custom CTA Text,Custom CTA URL,Banner CTA Creative ID,Banner CTA Title,Banner CTA Subtitle,Banner CTA URL,Tracking Pixel,,
AIPORNISHERE_MISSIONARY_converted,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032467881,Stop Cucking to Porn,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,,,
AIPORNISHERE_INDIAN,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032166452,Stop Cucking to Porn,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,,,
New Porn Vid,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1031965702,Stop Cucking to Porn,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,,,
AIPORNISHERE_GOTH,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032166482,Stop Cucking to Porn,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,,,
ORG_EN_General_MFT_Real_NSFW_Generic_Scotty_29sec_ID-0C8251F1,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032633781,Stop Cucking to Porn,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11=US_EN_PREROLL_CPA_ALL_Broad_AND_MF_JB&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,